,pearsons,spearmans,dataset
340,0.22544317316510287,0.19368686419412895,Train
341,0.1588405364360937,0.2704176020435807,Train
342,-0.07027227478669931,-0.11691580478824226,Train
343,0.1628453556629547,0.13026043223343825,Train
344,0.049252558742814964,0.12052491176671142,Train
345,0.6691523280614577,0.5512552656690897,Train
346,0.5072018779087455,0.5073814736790242,Train
347,0.4553830228534362,0.364802360708046,Train
348,0.8126106905931415,0.787388042780291,Train
349,0.2402145730936764,0.33066863775810335,Train
350,0.4658429797323565,0.46811664383047097,Train
351,0.804334364528813,0.8164683382463478,Train
352,0.4630809955505384,0.5267342599197259,Train
353,0.5634485729031591,0.6895458687095213,Train
354,0.371317503404705,0.3619627787357408,Train
355,0.37710502170855126,0.3636156328156008,Train
356,0.7111588198895302,0.6421546457363767,Train
357,0.7787456066584644,0.7339378220826517,Train
358,0.15048448661284708,0.1926495235541671,Train
359,0.24580609644536233,0.16449048553411771,Train
360,0.7981865577534699,0.6639608406729742,Train
361,0.23695821689532442,0.3756184901698305,Train
362,0.4536018264007934,0.3306779469302863,Train
363,0.3923243987006458,0.11704972056285001,Train
364,0.07348200687168974,0.12678052025070913,Train
365,0.7986462692441488,0.7342515674125412,Train
366,0.5669469051520815,0.39573580914719425,Train
367,0.670503482177176,0.7417946537019459,Train
368,0.2986181082177109,0.4792312202934823,Train
369,0.6517423256129344,0.6300628183446171,Train
370,0.46404536655452744,0.5106292672529009,Train
371,0.26166423024124436,0.13943838065449832,Train
372,0.7505004820352443,0.7937901189658129,Train
373,-0.09781132377995333,-0.17375048967446444,Train
374,0.7715308459387117,0.741001215520827,Train
375,0.42354407298754737,0.3197368719590644,Train
376,0.7805833441608101,0.7199563340711459,Train
377,0.7520626213057972,0.7387587112895612,Train
378,0.3059349486986105,0.278838257525603,Train
379,0.43290262118865463,0.30009224980907795,Train
380,0.44857625184829697,0.45689365711701485,Train
381,0.7425916256534919,0.7734162613114521,Train
382,0.7500079806342295,0.7611653488267469,Train
383,0.41957443335697353,0.4381545369556343,Train
384,0.7356509269620511,0.7113372032387374,Train
385,0.8044355755369688,0.7963425909095717,Train
386,0.7339002887073145,0.5725458304430275,Train
387,0.36001323056874923,0.372165936878203,Train
388,0.5866677959348892,0.4754253640760958,Train
389,0.605510096765688,0.5613125934442801,Train
390,0.23936939507265104,0.13808273196424706,Train
391,0.17185274710370899,0.07991020291800789,Train
392,0.5778792267499822,0.5835888903310539,Train
393,-0.05864453731226854,-0.02508106793270371,Train
394,0.402804820284787,0.1917587311017604,Train
395,0.7659994319014922,0.7754448846466948,Train
396,0.17633753420973386,0.08160795347375524,Train
397,-0.059928499726460166,-0.023942404715773805,Train
398,0.59060749095204,0.6034278536927173,Train
399,-0.05061851217018072,-0.25395129666941657,Train
400,0.8043457262039316,0.7795026929681307,Train
401,0.3841805035118166,0.3895053022100656,Train
402,0.7537596583092383,0.5986244447864469,Train
403,0.7903345193357267,0.784381761913362,Train
404,0.6882470512320038,0.6873050385928765,Train
405,0.6226377379279231,0.6418925244987029,Train
406,0.6981090016540326,0.6318452175851522,Train
407,0.3041337336264186,0.427965440429948,Train
408,0.4474515578115724,0.43783819086598136,Train
409,0.36086925117235413,0.2322794509752258,Train
410,0.34162075844905115,0.4515418484648095,Train
411,0.7213309612127436,0.6470570487147026,Train
412,0.2914568346491908,0.3056898518188712,Train
413,-0.025602926033570585,-0.18389155595000728,Train
414,0.7027628253045373,0.5563965503055686,Train
415,0.34878047250562194,0.3783851398506767,Train
416,0.304456539445464,0.3079797642854784,Train
417,0.40428794141634966,0.38963430987566383,Train
418,0.676521266693285,0.649919134529766,Train
419,0.32393925789192657,0.346368767832473,Train
420,0.3980601809672336,0.09652864362834906,Train
421,0.0867007314863405,0.2072214875555201,Train
422,0.6770767375630025,0.6270522273780005,Train
423,0.7339168225948802,0.6785660656771632,Train
424,0.7960495269196989,0.7588399116022772,Train
425,-0.32615899223775463,-0.2995420593024436,Train
426,0.1657548615844522,0.1969607616281673,Train
427,0.5046411815517398,0.5849298444456371,Train
428,0.4933114900288824,0.4052540940970649,Train
429,0.44792044289023836,0.5061555667773072,Train
430,0.6334702252062363,0.5148979828414405,Train
431,0.3638320278319089,0.26294497617598095,Train
432,0.5045853548141022,0.2918778920357948,Train
433,0.1133605354749107,0.06702198040001306,Train
434,0.06548859028277251,0.17841697577120638,Train
435,0.6397856912830016,0.5388946142625894,Train
436,0.040671969682440134,0.24126865096006367,Train
